"","V1","V2","V3","V4","V5","V6","V7","V8","initiale","err_initiale"
"69",1.347,1.583,1.692,1.54066666666667,0.176352865962913,0.10181737463605,2010,8,1.08666666666667,0.189032625050104
"70",1.366,1.68,1.616,1.554,0.165927695096388,0.0957983994299139,2010,9,1.19666666666667,0.189032625050104
"71",0.987,0.966,1.138,1.03033333333333,0.0938314090980911,0.0541735893012248,2011,0,1.08666666666667,0.189032625050104
"72",1.01,1.085,1.014,1.03633333333333,0.0421939964133919,0.0243607151874579,2011,1,0.983333333333333,0.189032625050104
"73",1.146,1.078,1.436,1.22,0.190126273828737,0.109769455375042,2011,2,1.13666666666667,0.189032625050104
"74",1.086,1.358,1.488,1.31066666666667,0.205137352360152,0.118436105605981,2011,3,1.01333333333333,0.189032625050104
"75",1.519,1.101,2.085,1.56833333333333,0.493851529645635,0.285125313580616,2011,4,1.24666666666667,0.189032625050104
"76",1.21,1.143,1.919,1.424,0.429989534756371,0.248254573640313,2011,5,1.08666666666667,0.189032625050104
"77",1.15,1.012,1.265,1.14233333333333,0.12667412258758,0.0731353387752991,2011,6,1.09333333333333,0.189032625050104
"78",1.462,1.414,1.132,1.336,0.178291895497244,0.102936873859662,2011,7,1.20666666666667,0.189032625050104
"79",1.32,1.202,1.72,1.414,0.271492172999518,0.156746079164148,2011,8,1.08666666666667,0.189032625050104
"80",1.353,1.637,2.097,1.69566666666667,0.375453503557143,0.216768181346904,2011,9,1.19666666666667,0.189032625050104
"81",0.953,0.997,1.176,1.042,0.11811435137188,0.0681933525597131,2012,0,1.08666666666667,0.189032625050104
"82",1.058,1.037,1.116,1.07033333333333,0.0409186184191664,0.0236243753591733,2012,1,0.983333333333333,0.189032625050104
"83",1.219,1.101,1.267,1.19566666666667,0.0854244305414636,0.0493198179684845,2012,2,1.13666666666667,0.189032625050104
"84",1.292,1.171,0.992,1.15166666666667,0.150931551815163,0.0871403720696925,2012,3,1.01333333333333,0.189032625050104
"85",1.755,1.136,1.696,1.529,0.34162406238437,0.19723674437927,2012,4,1.24666666666667,0.189032625050104
"86",1.474,1.497,1.228,1.39966666666667,0.149111814868351,0.086089746453596,2012,5,1.08666666666667,0.189032625050104
"87",1.264,1.497,1.343,1.368,0.118494725621017,0.0684129617348448,2012,6,1.09333333333333,0.189032625050104
"88",1.845,1.185,1.387,1.47233333333333,0.33817352547669,0.195244575966772,2012,7,1.20666666666667,0.189032625050104
"89",1.543,1.139,1.271,1.31766666666667,0.206003236220534,0.11893602388586,2012,8,1.08666666666667,0.189032625050104
