"","V1","V2","V3","V4","V5","V6","V7","V8","err_initiale","initiale"
"48",12.268,12.249,12.33,12.2823333333333,0.0423595719210347,0.0244563102513667,2009,7,2.11660104885167,14.1
"49",11.908,12.124,15.026,13.0193333333333,1.7411769965553,1.00526900766799,2009,8,2.11660104885167,13.2666666666667
"50",12.127,13.708,15.672,13.8356666666667,1.77594491280933,1.02534227347641,2009,9,2.11660104885167,13.6
"51",10.126,12.47,12.358,11.6513333333333,1.32216388293333,0.763351673724358,2010,0,2.11660104885167,12.6366666666667
"52",7.725,7.723,9.632,8.36,1.10158476750543,0.636000262054453,2010,1,2.11660104885167,11.17
"53",10.688,12.075,12.109,11.624,0.810778021409066,0.468102908913556,2010,2,2.11660104885167,13.6
"54",10.868,10.979,10.917,10.9213333333333,0.0556267321827669,0.0321161087998597,2010,3,2.11660104885167,12.9
"55",11.834,11.845,13.315,12.3313333333333,0.851898076845659,0.491843583988966,2010,4,2.11660104885167,13
"56",11.112,9.759,12.018,10.963,1.13684695539901,0.656358895727025,2010,5,2.11660104885167,12.8
"57",11.69,10.066,11.693,11.1496666666667,0.938484061310224,0.541834025427631,2010,6,2.11660104885167,11.9066666666667
"58",12.293,10.354,11.857,11.5013333333333,1.01725332800308,0.587311482756618,2010,7,2.11660104885167,14.1
"59",10.264,10.735,11.685,10.8946666666667,0.723830320816512,0.417903630571026,2010,8,2.11660104885167,13.2666666666667
"60",10.801,13.021,13.61,12.4773333333333,1.48131709412041,0.855238823045612,2010,9,2.11660104885167,13.6
"61",10.127,12.411,11.329,11.289,1.14252527324344,0.659637274063051,2011,0,2.11660104885167,12.6366666666667
"62",8.954,6.761,10.707,8.80733333333333,1.97708430101838,1.14147015340354,2011,1,2.11660104885167,11.17
"63",10.79,12.235,12.007,11.6773333333333,0.776863136809396,0.448522141160402,2011,2,2.11660104885167,13.6
"64",11.499,10.524,11.285,11.1026666666667,0.512435687021634,0.295854881844311,2011,3,2.11660104885167,12.9
"65",11.595,12.288,12.49,12.1243333333333,0.469410623370768,0.271014349763583,2011,4,2.11660104885167,13
"66",10.427,9.434,12.494,10.785,1.56109672986654,0.901299617219491,2011,5,2.11660104885167,12.8
"67",10.52,10.116,12.377,11.0043333333333,1.2058044341158,0.696171514626804,2011,6,2.11660104885167,11.9066666666667
"68",12.468,9.629,12.238,11.445,1.57690107489341,0.910424260075122,2011,7,2.11660104885167,14.1
"69",11.316,11.453,12.169,11.646,0.458081870411829,0.264473691193157,2011,8,2.11660104885167,13.2666666666667
"70",10.727,12.923,12.994,12.2146666666667,1.28884612476949,0.744115657079671,2011,9,2.11660104885167,13.6
"71",10.209,12.585,11.503,11.4323333333333,1.18957527434515,0.686801604864494,2012,0,2.11660104885167,12.6366666666667
"72",7.955,7.294,10.847,8.69866666666667,1.88963814878228,1.09098309387044,2012,1,2.11660104885167,11.17
"73",9.707,11.466,12.702,11.2916666666667,1.50509147008856,0.868964965410638,2012,2,2.11660104885167,13.6
"74",11.646,11.909,4.22,9.25833333333333,4.36530575485078,2.52031045265812,2012,3,2.11660104885167,12.9
"75",12.169,12.449,5.091,9.903,4.16966521437873,2.40735733395218,2012,4,2.11660104885167,13
"76",10.83,9.215,11.362,10.469,1.11809793846514,0.645534145753215,2012,5,2.11660104885167,12.8
"77",11.944,10.178,13.697,11.9396666666667,1.75950400207937,1.01585010924075,2012,6,2.11660104885167,11.9066666666667
"78",11.29,10.634,12.751,11.5583333333333,1.0837086016699,0.62567945289723,2012,7,2.11660104885167,14.1
"79",11.118,8.904,12.519,10.847,1.822673037053,1.05232076858722,2012,8,2.11660104885167,13.2666666666667
"80",12.096,12.163,4.669,9.64266666666667,4.30745195368832,2.48690854498333,2012,9,2.11660104885167,13.6
"81",11.758,14.931,14.262,13.6503333333333,1.67259807883823,0.965674951063302,2013,0,2.11660104885167,12.6366666666667
"82",9.848,9.211,13.987,11.0153333333333,2.59317263855173,1.49716892092301,2013,1,2.11660104885167,11.17
"83",12.804,15.59,14.339,14.2443333333333,1.39541045335533,0.805640600874719,2013,2,2.11660104885167,13.6
"84",13.466,12.785,14.667,13.6393333333333,0.9528978609134,0.55015583650857,2013,3,2.11660104885167,12.9
"85",14.302,15.787,15.57,15.2196666666667,0.802094965283622,0.463089744122143,2013,4,2.11660104885167,13
"86",13.158,12.339,15.255,13.584,1.50395179444023,0.86830697336829,2013,5,2.11660104885167,12.8
"87",13.902,14.045,16.028,14.6583333333333,1.18831912099963,0.686076364392316,2013,6,2.11660104885167,11.9066666666667
"88",14.61,13.234,14.216,14.02,0.708629663505557,0.409127526980687,2013,7,2.11660104885167,14.1
"89",13.667,13.425,14.741,13.9443333333333,0.700463655968911,0.4044128803312,2013,8,2.11660104885167,13.2666666666667
"90",13.485,15.29,16.601,15.1253333333333,1.56451281021708,0.903271892129447,2013,9,2.11660104885167,13.6
"91",12.775,15.072,14.859,14.2353333333333,1.26916205952326,0.732751056711016,2014,0,2.11660104885167,12.6366666666667
"92",9.776,8.603,14.956,11.1116666666667,3.38055562494294,1.95176470007131,2014,1,2.11660104885167,11.17
"93",14.688,16.733,17.889,16.4366666666667,1.62094427212453,0.935852611852481,2014,2,2.11660104885167,13.6
"94",14.402,16.663,16.353,15.806,1.22573936870772,0.707680954479725,2014,3,2.11660104885167,12.9
"95",14.72,15.991,17.253,15.988,1.26650266482152,0.73121565446408,2014,4,2.11660104885167,13
"96",13.781,14.486,17.132,15.133,1.76670795549236,1.02000931368297,2014,5,2.11660104885167,12.8
"97",15.182,14.102,20.166,16.4833333333333,3.23467546027934,1.86754074773335,2014,6,2.11660104885167,11.9066666666667
"98",16.384,12.325,16.578,15.0956666666667,2.40142756154195,1.38646484909563,2014,7,2.11660104885167,14.1
"99",13.023,14.623,16.832,14.826,1.91259692564848,1.1042383498744,2014,8,2.11660104885167,13.2666666666667
"100",14.682,17.53,17.574,16.5953333333333,1.65714131362818,0.956750983508481,2014,9,0.118928769407006,13.6
